dictionary,rule,size,k1,
kb_rus_noun_fem,word_ddd_sc.rule,177398339,5.307839621038154,
kb_rus_noun_fem,word_dd_2sc.rule,17737300,4.5845123154323675,
kb_rus_noun_fem,word_dd_age.rule,28379680,3.861185009826581,
kb_rus_noun_fem,word_dd_age_sc.rule,170126046,3.861185009826581,
kb_rus_noun_fem,word_dd_sc.rule,17762639,6.428915854222011,
kb_rus_noun_fem,word_mon_dd.rule,32966039,3.861185009826581,
kb_rus_noun_fem,word_mon_dd_sc.rule,197644200,3.861185009826581,
kb_rus_noun_fem,word_pd.rule,1748391,9.967860523308355,
kb_rus_noun_fem,word_sc_dd.rule,15203400,6.0737155916795755,
kb_rus_noun_fem,word_sc_year.rule,12188059,8.243697508496936,
kb_rus_noun_fem,word_year.rule,3294070,8.967024814102722,
kb_rus_noun_fem,word_year_mon.rule,24350779,3.861185009826581,
kb_rus_noun_fem,word_year_sc.rule,108450920,3.861185009826581,
kb_rus_noun_fem,year_sc_word.rule,16470350,3.861185009826581,
kb_rus_noun_fem,year_word.rule,3294070,3.861185009826581,
kb_rus_noun_fem,year_word_sc.rule,13176280,3.861185009826581,
kb_rus_noun_it,1-0_sc_word.rule,474370,3.861185009826581,
kb_rus_noun_it,1-0_word.rule,115700,3.861185009826581,
kb_rus_noun_it,day_cc_word.rule,358670,3.861185009826581,
kb_rus_noun_it,day_dd_word.rule,35867000,3.861185009826581,
kb_rus_noun_it,day_mon_dd_word.rule,422582680,3.861185009826581,
kb_rus_noun_it,day_word.rule,358670,3.861185009826581,
kb_rus_noun_it,day_word_dd.rule,35867000,3.861185009826581,
kb_rus_noun_it,day_word_sc.rule,1793350,3.861185009826581,
kb_rus_noun_it,day_word_year.rule,59469800,3.861185009826581,
kb_rus_noun_it,dddd_word.rule,115700000,3.861185009826581,
kb_rus_noun_it,ddd_word.rule,11570000,3.861185009826581,
kb_rus_noun_it,dd_word.rule,1157000,3.861185009826581,
kb_rus_noun_it,d_sc_word.rule,578500,3.861185009826581,
kb_rus_noun_it,d_word.rule,115700,4.421723126418509,
kb_rus_noun_it,sc_dddd_word.rule,578500000,3.861185009826581,
kb_rus_noun_it,sc_dd_word.rule,5785000,3.861185009826581,
kb_rus_noun_it,sc_word_d.rule,462800,3.861185009826581,
kb_rus_noun_it,sc_word_dd_mon_sc.rule,60164000,3.861185009826581,
kb_rus_noun_it,sc_word_dd_sc.rule,4628000,3.861185009826581,
kb_rus_noun_it,sc_word_mon_day_sc.rule,19252480,3.861185009826581,
kb_rus_noun_it,sc_word_year.rule,6016400,4.5845123154323675,
kb_rus_noun_it,sc_word_year_sc.rule,6016400,3.861185009826581,
kb_rus_noun_it,sc_year_word.rule,7520500,3.861185009826581,
kb_rus_noun_it,word_2sc_dd.rule,8110570,3.861185009826581,
kb_rus_noun_it,word_day_dd_mon.rule,481323570,3.861185009826581,
kb_rus_noun_it,word_day_mon.rule,4836260,4.5845123154323675,
kb_rus_noun_it,word_day_mon_dd.rule,422582680,3.861185009826581,
kb_rus_noun_it,word_day_mon_sc.rule,28948140,3.861185009826581,
kb_rus_noun_it,word_day_mon_year.rule,215202000,3.861185009826581,
